rodada,data,time_mandante,time_visitante,points_mand_last_5,points_visit_last_5,colocacao_mandante_antes,colocacao_visitante_antes,publico_real
4,27/04/2024,Vasco da Gama,Criciúma EC,3,2,15,16,17124
4,27/04/2024,Cuiabá-MT,Atlético-MG,0,5,20,7,5960
4,27/04/2024,EC Bahia,Grêmio,4,6,9,5,35836
4,28/04/2024,Flamengo,Botafogo,7,6,2,3,49549
4,28/04/2024,Cruzeiro,EC Vitória,4,1,12,17,16996
4,28/04/2024,Corinthians,Fluminense,1,4,18,10,41839
4,28/04/2024,Fortaleza,RB Bragantino,4,7,8,1,17378
4,28/04/2024,Juventude,Athletico-PR,4,6,13,4,5032
4,28/04/2024,Internacional,Atlético-GO,6,0,6,19,28468
4,29/04/2024,São Paulo,Palmeiras,3,4,14,11,55694
