rodada,data,time_mandante,time_visitante,points_mand_last_5,points_visit_last_5,colocacao_mandante_antes,colocacao_visitante_antes
7,18/05/2024,EC Vitória,Atlético-GO,1,1,18,19
7,18/05/2024,Fortaleza,Athletico-PR,4,10,11,1
7,18/05/2024,Vasco da Gama,Flamengo,3,8,13,3
7,19/05/2024,Criciúma EC,Palmeiras,4,5,14,9
7,19/05/2024,Atlético-MG,EC Bahia,8,13,7,2
7,19/05/2024,Fluminense,Juventude,4,4,17,15
7,19/05/2024,Corinthians,Botafogo,4,10,16,4
7,19/05/2024,Grêmio,RB Bragantino,6,8,12,8
7,19/05/2024,Cuiabá-MT,Internacional,0,4,20,10
7,20/05/2024,São Paulo,Cruzeiro,10,7,5,6
