Salário,Profissão,Tamanho da Empresa,Cargo de Gestão,Experiência em DS,Experiência Profissional,Tipo de Trabalho,Escolaridade,Área de Formação,Setor de Mercado,Estado,Linguagem Python,Linguagem R,Linguagem SQL,Linguagem C/C#/C++,PowerBI,Tableau
1500.0,Outras,Pequena,não,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Outras,Minas Gerais (MG),0,0,0,0,0,0
2500.0,Analista de Dados,Grande,não,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Educação,São Paulo (SP),1,0,1,0,1,0
5000.0,Outras,Grande,não,de 1 a 2 anos,de 6 a 10 anos,Empregado (CTL),Graduação/Bacharelado,Outras Engenharias,Indústria (Manufatura),São Paulo (SP),1,0,0,0,0,1
1500.0,Analista de BI,Pequena,não,Menos de 1 ano,de 2 a 3 anos,Estagiário,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,São Paulo (SP),1,0,1,0,0,0
7000.0,,Pequena,sim,de 4 a 5 anos,de 4 a 5 anos,Outros,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Internet/Ecommerce,,1,0,1,1,0,0
3500.0,Outras,Média,não,Menos de 1 ano,de 4 a 5 anos,Empregado (CTL),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,Paraná (PR),0,0,0,0,0,0
7000.0,,Pequena,sim,Não tenho experiência na área de dados,Menos de 1 ano,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,Rio Grande do Sul (RS),1,0,1,0,0,0
10000.0,,Pequena,sim,de 2 a 3 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Outros,Graduação/Bacharelado,Outras Engenharias,Outras,São Paulo (SP),0,0,0,0,0,0
2500.0,Desenvolvedor/Engenheiro de Software,Pequena,não,Não tenho experiência na área de dados,de 2 a 3 anos,Estagiário,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,,0,0,0,0,0,0
10000.0,Cientista de Dados,Grande,não,de 2 a 3 anos,de 6 a 10 anos,Empregado (CTL),Mestrado,Computação / Engenharia de Software / Sistemas de Informação,Área da Saúde,São Paulo (SP),1,1,0,0,0,0
5000.0,Outras,Grande,não,Não tenho experiência na área de dados,de 1 a 2 anos,Empregado (CTL),Pós-graduação,Outras Engenharias,Educação,,0,0,0,0,0,0
