rodada;data;time_mandante;time_visitante;points_mand_last_5;points_visit_last_5;colocacao_mandante_antes;colocacao_visitante_antes;publico
1;13/04/2024;Internacional;EC Bahia;0.0;0.0;1.0;1.0;22045
1;13/04/2024;Criciúma EC;Juventude;0.0;0.0;1.0;1.0;12408
1;13/04/2024;Fluminense;RB Bragantino;0.0;0.0;1.0;1.0;17645
1;13/04/2024;São Paulo;Fortaleza;0.0;0.0;1.0;1.0;35055
1;14/04/2024;Vasco da Gama;Grêmio;0.0;0.0;1.0;1.0;18055
1;14/04/2024;Corinthians;Atlético-MG;0.0;0.0;1.0;1.0;44597
1;14/04/2024;Athletico-PR;Cuiabá-MT;0.0;0.0;1.0;1.0;22169
1;14/04/2024;Atlético-GO;Flamengo;0.0;0.0;1.0;1.0;35195
1;14/04/2024;Cruzeiro;Botafogo;0.0;0.0;1.0;1.0;20701
1;14/04/2024;EC Vitória;Palmeiras;0.0;0.0;1.0;1.0;30793
